ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030335	positive regulation of cell migration	90/1055	436/13249	1.49390604673835e-17	7.13788309131584e-14	5.45039827157381e-14	F2RL1/SERPINE1/TGFBR1/COL1A1/NRP2/XBP1/THBS1/EPHB2/ITGA5/LAMC2/CEACAM6/FGF2/CCN1/BMPR2/ITGA2/CLDN4/SEMA4G/HMOX1/RET/PREX1/SMURF2/SPHK1/ACKR3/EGFR/FERMT2/MYADM/TLR4/PDGFB/FOXP1/F2R/SEMA7A/HBEGF/CXCL8/SNAI1/ACVR1/KITLG/TNFAIP6/SERPINB3/WNT5B/F3/ITGB3/MMP2/HSPB1/SPARC/JCAD/BMP2/SEMA4C/EPHA1/PIK3CD/SH3RF2/CX3CL1/GPNMB/VIL1/EPHA4/PAX6/FOXC2/SEMA3E/PYCARD/FGFBP1/DAPK2/GLIPR2/ANGPT1/SNAI2/WNT5A/ATOH8/AQP1/PROX1/AGT/F7/WNT7A/DRD1/IL1A/FGF1/CSF1R/FPR2/TACR1/TRPV4/SEMA3D/TEK/TNF/MMP9/PTAFR/LBP/LRRC15/FGF18/TNFSF14/CCL3/ROR2/CCL24/VEGFD	90
GO:0040017	positive regulation of locomotion	92/1055	462/13249	7.28019816615258e-17	1.73923934189385e-13	1.32806141283605e-13	F2RL1/SERPINE1/TGFBR1/COL1A1/NRP2/XBP1/THBS1/EPHB2/ITGA5/LAMC2/CEACAM6/FGF2/CCN1/BMPR2/ITGA2/CLDN4/SEMA4G/HMOX1/RET/PREX1/SMURF2/SPHK1/ACKR3/EGFR/FERMT2/MYADM/TLR4/PDGFB/FOXP1/F2R/SEMA7A/HBEGF/CXCL8/SNAI1/ACVR1/KITLG/TNFAIP6/SERPINB3/WNT5B/F3/ITGB3/MMP2/HSPB1/SPARC/JCAD/BMP2/SEMA4C/EPHA1/PIK3CD/SH3RF2/CX3CL1/GPNMB/VIL1/EPHA4/PAX6/FOXC2/SEMA3E/PYCARD/FGFBP1/DAPK2/GLIPR2/ANGPT1/SNAI2/WNT5A/ATOH8/AQP1/PROX1/AGT/F7/WNT7A/DRD1/IL1A/FGF1/CSF1R/SUCNR1/FPR2/TACR1/TRPV4/SEMA3D/TEK/TNF/MMP9/PTAFR/LBP/LRRC15/FGF18/TNFSF14/CCL3/ROR2/CCL24/ARTN/VEGFD	92
GO:2000147	positive regulation of cell motility	90/1055	453/13249	1.87993329958072e-16	2.9941071017989e-13	2.28626274257782e-13	F2RL1/SERPINE1/TGFBR1/COL1A1/NRP2/XBP1/THBS1/EPHB2/ITGA5/LAMC2/CEACAM6/FGF2/CCN1/BMPR2/ITGA2/CLDN4/SEMA4G/HMOX1/RET/PREX1/SMURF2/SPHK1/ACKR3/EGFR/FERMT2/MYADM/TLR4/PDGFB/FOXP1/F2R/SEMA7A/HBEGF/CXCL8/SNAI1/ACVR1/KITLG/TNFAIP6/SERPINB3/WNT5B/F3/ITGB3/MMP2/HSPB1/SPARC/JCAD/BMP2/SEMA4C/EPHA1/PIK3CD/SH3RF2/CX3CL1/GPNMB/VIL1/EPHA4/PAX6/FOXC2/SEMA3E/PYCARD/FGFBP1/DAPK2/GLIPR2/ANGPT1/SNAI2/WNT5A/ATOH8/AQP1/PROX1/AGT/F7/WNT7A/DRD1/IL1A/FGF1/CSF1R/FPR2/TACR1/TRPV4/SEMA3D/TEK/TNF/MMP9/PTAFR/LBP/LRRC15/FGF18/TNFSF14/CCL3/ROR2/CCL24/VEGFD	90
GO:0006935	chemotaxis	63/1055	304/13249	1.06582542469838e-12	1.01850277584177e-09	7.77715983579912e-10	F2RL1/SERPINE1/GREM1/NRP2/THBS1/FGF2/CCN1/BMPR2/CMTM3/ITGA2/SEMA4G/NRG1/PREX1/CCL2/EPHA7/ACKR3/VAV3/PDGFB/SEMA7A/HBEGF/CXCL8/PTPRJ/TNFAIP6/PLAUR/FOSL1/F3/ITGB3/MMP2/CXCL2/HSPB1/ST6GAL1/SEMA4C/PIK3CD/PLXNA4/CX3CL1/GPNMB/C5AR2/SEMA3E/DOCK2/DAPK2/ANGPT1/NOVA2/WNT5A/FPR1/EFNB2/F7/FGF1/CSF1R/SUCNR1/FPR2/FLRT2/BIN2/TRPV4/SEMA3D/PTAFR/LBP/S100A9/FGF18/TNFSF14/CCL3/CCL24/ARTN/VEGFD	63
GO:0042330	taxis	63/1055	304/13249	1.06582542469838e-12	1.01850277584177e-09	7.77715983579912e-10	F2RL1/SERPINE1/GREM1/NRP2/THBS1/FGF2/CCN1/BMPR2/CMTM3/ITGA2/SEMA4G/NRG1/PREX1/CCL2/EPHA7/ACKR3/VAV3/PDGFB/SEMA7A/HBEGF/CXCL8/PTPRJ/TNFAIP6/PLAUR/FOSL1/F3/ITGB3/MMP2/CXCL2/HSPB1/ST6GAL1/SEMA4C/PIK3CD/PLXNA4/CX3CL1/GPNMB/C5AR2/SEMA3E/DOCK2/DAPK2/ANGPT1/NOVA2/WNT5A/FPR1/EFNB2/F7/FGF1/CSF1R/SUCNR1/FPR2/FLRT2/BIN2/TRPV4/SEMA3D/PTAFR/LBP/S100A9/FGF18/TNFSF14/CCL3/CCL24/ARTN/VEGFD	63
GO:0001501	skeletal system development	76/1055	415/13249	3.60565382139089e-12	2.87130232643428e-09	2.192490551744e-09	TGFBI/TGFBR1/GREM1/COL1A1/CHST11/GJA1/CCN2/FGF2/CCN1/BMPR2/TGM2/ETS2/SKI/VDR/TIPARP/CYP26B1/COL11A1/CREB3L2/FOXP1/HAPLN3/RDH10/SNAI1/BMP6/WNT5B/STC1/CDH11/RARA/MAF/RARB/MMP2/SMAD7/PTHLH/RUNX1/NFATC2/BMP2/PKDCC/XYLT1/ARID5A/MDFI/SNORC/WNT9A/ALPL/TLL1/CITED2/FOXC2/HOXD10/ITGB8/NOG/MMP16/RUNX2/SNAI2/WNT5A/NOTUM/GDF6/WNT7A/TRPS1/TNFRSF11B/CDKN1C/PCSK5/OSR2/HOXD9/GPR68/DLX2/TRPV4/TEK/WNT9B/MMP9/ACAN/AHSG/CHRDL2/NKX3-2/FGF18/RIPPLY2/CHRD/CLDN18/ATG9B	76
GO:0051216	cartilage development	41/1055	159/13249	8.05501195520816e-12	5.49812101742637e-09	4.19829645665436e-09	TGFBI/TGFBR1/GREM1/COL1A1/CHST11/CCN2/FGF2/CCN1/BMPR2/COL11A1/CREB3L2/SNAI1/BMP6/WNT5B/STC1/RARA/MAF/RARB/SMAD7/PTHLH/RUNX1/NFATC2/BMP2/PKDCC/ARID5A/SNORC/WNT9A/ITGB8/NOG/RUNX2/SNAI2/WNT5A/GDF6/WNT7A/TRPS1/OSR2/DLX2/TRPV4/CHRDL2/NKX3-2/FGF18	41
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	84/1055	493/13249	1.35275555917476e-11	8.07933257717124e-09	6.16927732644699e-09	COL4A1/COL1A1/NRP2/THBS1/GRB10/EPHB2/SH2B3/ITGA5/CCN2/FGF2/PDK4/NRG1/COL4A2/AGR2/RET/PTPRE/TIPARP/EPHA7/NKX3-1/MYOCD/ERBB3/EGFR/VAV2/PDGFB/HBEGF/PTPRJ/PAK3/FAM83A/HHEX/PID1/PLAUR/F3/ITGB3/MMP2/HSPB1/JCAD/SPRY4/BMP2/AREG/SPRY1/EPHA1/PIK3CD/IGF2/TBX2/SOCS2/VIL1/EPHA4/FOXC2/EFNA2/SH3TC2/FGFBP1/GDF15/NOG/ANGPT1/CDK5R1/NTF4/RUNX2/WNT5A/EFNB2/NTRK2/IL31RA/SAMD12/AGT/SHC4/EPHB3/F7/NGF/EPHA5/FGF1/CSF1R/SH2B2/FLRT2/TEK/EPHA6/FGF5/MMP9/SNCA/PRLR/AHSG/PTPRR/FGF18/SLC2A4/ROR2/VEGFD	84
GO:0051897	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	34/1055	122/13249	4.96676282692053e-11	2.52418134751621e-08	1.92743331287946e-08	F2RL1/TGFBR1/NTS/THBS1/FGF2/RET/NKX3-1/ERBB3/EGFR/FERMT2/PDGFB/F2R/HBEGF/PTPRJ/F3/PIK3AP1/PIK3CD/IGF2/CX3CL1/SEMA3E/GDF15/ANGPT1/NTRK2/AGT/F7/H19/CSF1R/RASD2/TEK/TNF/CCL3/ROR2/HCLS1/LRP2	34
GO:0007186	G protein-coupled receptor signaling pathway	79/1055	463/13249	5.28292454482253e-11	2.52418134751621e-08	1.92743331287946e-08	F2RL1/NTS/TGM2/NXPH4/PREX1/S1PR5/LGR4/SPHK1/CCL2/ADGRG1/ACKR3/P2RY2/HTR1D/F2R/CXCL8/IQGAP2/HRH1/ADGRG3/ADGRF4/ARRB1/GRK5/ITGB3/PTHLH/CRY1/LPAR5/ADM/AREG/GIPR/CX3CL1/ADORA2B/C5AR2/GPR37/GPR157/UCN2/NPBWR1/PDE4A/GNG4/CDK5R1/FFAR4/ATRNL1/GPR35/FPR1/ADGRL3/AGT/ANO1/DRD1/CGB7/SSTR5/ADGRA1/NPY2R/SUCNR1/ADGRF2/P2RY1/OR51E2/SCG5/FPR2/CGB3/GPR68/CRHR1/TACR1/OR2B6/RGS9/GPR162/RXFP4/ECEL1/CGB2/NPFF/SNCA/PTAFR/HTR7/CGB1/LGR5/RGS9BP/RAPGEF4/NPY1R/CCL3/CCL24/GNG7/NTSR1	79
