category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Environmental Information Processing	Signal transduction	hsa04350	TGF-beta signaling pathway	25/542	110/9378	2.29430309418288e-09	6.67264303368593e-07	5.48312262869948e-07	7046/26585/7057/659/6498/6497/3625/64750/57154/90/654/4092/650/3398/9241/7044/3624/392255/64388/3547/7124/269/2615/56963/8646	25
Organismal Systems	Development and regeneration	hsa04360	Axon guidance	33/542	184/9378	4.3049309894748e-09	6.67264303368593e-07	5.48312262869948e-07	2048/659/27289/57715/2045/22885/8482/5063/81029/4773/3985/54910/2041/5293/91584/84612/7225/2043/9901/1943/9723/84448/137970/7474/1948/2049/10154/2044/816/223117/285220/90249/56963	33
Human Diseases	Cancer: overview	hsa05205	Proteoglycans in cancer	33/542	204/9378	5.96819139376568e-08	6.1671311068912e-06	5.06772742909226e-06	1277/7057/3678/2247/3673/1026/10451/6385/2065/1956/7099/7410/1839/81029/5329/3690/4313/22808/5293/288/7483/3481/286/3236/4060/7474/7078/7476/816/7124/7484/4318/3059	33
Environmental Information Processing	Signal transduction	hsa04151	PI3K-Akt signaling pathway	47/542	362/9378	1.18272423160891e-07	9.16611279496908e-06	7.53208589603571e-06	1282/1277/7057/4170/3678/3918/2247/3673/1284/5979/1026/64764/2065/1956/7099/5155/2149/4254/3690/57121/118788/374/5293/22801/3481/3575/9586/1943/3696/284/2786/4909/4915/3910/4803/2246/1436/3456/7010/3560/2250/1293/5618/8817/9048/2788/2277	47
Environmental Information Processing	Signal transduction	hsa04015	Rap1 signaling pathway	31/542	212/9378	1.47497384174606e-06	9.14483781882558e-05	7.5146035726852e-05	7057/2247/10451/1956/7410/5155/2149/4254/25780/3690/57121/22808/5293/54518/84612/136/1943/284/2357/83593/4803/2246/1436/5028/7010/2250/3683/8817/11069/10235/2277	31
Environmental Information Processing	Signaling molecules and interaction	hsa04060	Cytokine-cytokine receptor interaction	37/542	298/9378	7.88254629667211e-06	0.000407264891994726	0.000334662491893798	7046/3589/659/51330/3625/6347/57007/3576/90/654/2920/650/3575/6376/58985/282618/9518/3624/133396/392255/7850/4803/3552/1436/8743/4982/3456/9560/3560/7124/269/5618/8740/6348/10673/6369/3581	37
Environmental Information Processing	Signal transduction	hsa04010	MAPK signaling pathway	37/542	300/9378	9.19797760008942e-06	0.00040733900800396	0.000334723395371675	7046/3725/4616/2247/10125/5979/2065/1956/5155/5924/1849/2353/4254/408/25780/3315/374/22808/3481/5971/1943/1850/284/4909/4915/4803/3552/2246/1436/7010/2250/7124/5801/8817/10235/9048/2277	37
Human Diseases	Cancer: specific types	hsa05219	Bladder cancer	11/542	41/9378	1.40144355246278e-05	0.000543059376579326	0.000446249131178937	1612/7057/1026/1956/1839/3576/4313/1870/23604/4318/4312	11
Environmental Information Processing	Signal transduction	hsa04014	Ras signaling pathway	31/542	238/9378	1.67365067987817e-05	0.000576479678624703	0.000473711654421658	2247/2114/10125/1956/5155/5924/5063/4254/25780/22808/283455/5293/3481/1943/284/2786/4909/4915/399694/83593/4803/54979/2246/1436/7010/2250/3363/8817/10235/2788/2277	31
Environmental Information Processing	Signal transduction	hsa04390	Hippo signaling pathway	23/542	157/9378	3.24927226455841e-05	0.00100727440201311	0.000827709355813827	5054/7046/122786/1490/85407/659/654/6932/81029/6657/4092/650/374/3398/84612/7483/126374/6591/7474/392255/7476/2246/7484	23
