"GeneName"	"padj"	"pvalue"	"lfcSE"	"stat"	"log2FoldChange"	"baseMean"
"ELF3"	0	0	0.048405067513426	-39.0717692161135	-1.89127162677497	4685.37055162332
"LBH"	0	0	0.0444484964529976	41.7841572230822	1.85724296412167	7779.32284374756
"MARCHF4"	0	0	0.0690787254037774	46.6560216470164	3.22293850778694	2192.81730716924
"TNS1"	0	0	0.0692331339978216	46.6881236960038	3.2323651239523	2183.25379127558
"F2RL1"	0	0	0.0423865226556759	46.1381319808614	1.95563497649735	11797.2676904177
"TGFBI"	0	0	0.0361861976965848	44.1981622032495	1.59936343531251	51441.3262003822
"PCDH1"	0	0	0.0904319988092308	38.2202684881483	3.45633527440871	1079.63687679191
"ADAM19"	0	0	0.0750076595891074	46.6747739063586	3.5009655525667	3039.68324860836
"SERPINE1"	0	0	0.03759106397918	78.0893821617683	2.93546296093767	47037.3816170415
"TGFBR1"	0	0	0.0549323134996964	38.0188412555442	2.08846290674474	6062.11573516946
"MUC5AC"	0	0	0.0515766306349936	-47.4999516470072	-2.44988746127775	13244.50706778
"EHF"	0	0	0.0648702156520542	-43.7013667098343	-2.83491708275645	2016.42703558912
"PHLDB1"	0	0	0.0569376659883451	38.8342625373169	2.21113226925345	2278.59011946561
"NTS"	0	0	0.0562282354466968	-43.5140131241599	-2.44671617517592	5103.4451152474
"ULK1"	0	0	0.0494030348492638	41.3181874553057	2.04124385476288	9390.12565488297
"COL4A1"	0	0	0.0527889882545217	40.0719479181453	2.11535758798678	4069.20133194506
"FRMD6"	0	0	0.0597449355532557	48.9515863680796	2.92460937279055	2749.58179691681
"PLEK2"	0	0	0.0676300499404032	37.9820527378132	2.56872812349733	1711.83812971989
"GREM1"	0	0	0.0755035342472668	38.1210134964379	2.87827124806882	1435.73850967734
"LINC02086"	0	0	0.0728904402755254	45.0568569803864	3.28421414273174	1583.72810166983
"COL1A1"	0	0	0.0638347074728416	53.6816327050968	3.42675132039438	3186.00655885765
"ARHGEF18"	0	0	0.0538648912603941	39.2256085304671	2.1128831381164	6362.59225781079
"ANGPTL4"	0	0	0.0810343415380878	62.118176742905	5.03370554990786	3319.59389774167
"JUNB"	0	0	0.0645900978888732	42.1137532712761	2.72013144625958	8539.20936316226
"IL11"	0	0	0.0579167836599016	60.5125805810309	3.50469403821393	4702.22895604928
"PMEPA1"	0	0	0.0440296273073772	59.8671920644152	2.63593015453537	26916.6940594958
"VGLL3"	1.56587095309104e-302	2.30866137353017e-305	0.0625995984786713	37.3525067074299	2.33825192205699	3466.92132514433
"PGM2L1"	2.70917397960695e-292	4.14224165505348e-295	0.0588945638504665	36.7154364332672	2.1623396153168	5516.53654520959
"TNS4"	7.75588545766067e-281	1.22820225125408e-283	0.0459655071274175	35.9893385637356	1.65426819826243	19496.3022515186
"NIPAL4"	7.52177148611309e-271	1.23220195808111e-273	0.0859176078465499	35.3441707744761	3.03668660426293	962.783296733685
"NRP2"	1.50422200934346e-268	2.54632677822569e-271	0.0536308249597282	35.1931374030717	1.8874369918478	4898.57132986859
"BMF"	7.61316819428584e-267	1.33031934809778e-269	0.0988982200625843	35.0806419336328	3.46941304588914	1078.5550100771
"JUN"	1.9269411487677e-266	3.47234521429225e-269	0.0660975983210716	35.0533047329665	2.31693925606574	4921.8053782562
"DAPK1"	1.20061136534291e-262	2.22906058109862e-265	0.0609326257772104	-34.8025046449505	-2.12060799164039	2212.53476282609
"GPAM"	1.01060544248218e-259	1.93147984966289e-262	0.0613939348319037	34.6077536280708	2.12470617092036	2627.12527742512
"GADD45B"	1.53619470210824e-255	3.01987709692004e-258	0.0724885385599564	34.3278063378024	2.4883725133965	1256.94549850865
"RAI14"	5.41415461868811e-255	1.09388806253186e-257	0.0451184869783158	34.2903230464504	1.54712749385351	6848.62008439834
"XBP1"	7.68670510968107e-246	1.59501334662743e-248	0.0455536268406274	-33.6698959102577	-1.53378587405865	6141.03614824052
"THBS1"	3.75957607558882e-238	8.00652361426113e-241	0.0497820968496976	33.1395631557091	1.64975694257418	7859.87229913955
"GRB10"	2.67032976882157e-235	5.83264297236187e-238	0.0484721185833962	32.9402603335407	1.59668420505533	7289.1818040923
"EPHB2"	6.37634189828325e-235	1.42756521503639e-237	0.0499450329648246	32.9131011465887	1.64384592174098	4542.18285348471
"MCL1"	3.98344304710325e-232	9.35335832607655e-235	0.0389687567393894	32.7156593718396	1.27488857162994	13671.6122097939
"NCOR2"	3.98344304710325e-232	9.22408464217481e-235	0.050573028316978	32.7160843805986	1.65455146180066	21940.585204305
"FURIN"	3.09597957965938e-228	7.43860107601228e-231	0.0499104781972485	32.440232272457	1.61910750554814	8950.91104463712
"CHST11"	1.33774606969846e-226	3.28720434316774e-229	0.0539478908136278	32.3233479956306	1.74377644839917	2787.70199253252
"SH2B3"	1.39820320659742e-225	3.51211420867589e-228	0.0663622775722649	32.2500515607582	2.14018687339489	1544.89625135691
"TUFT1"	1.21668474881098e-222	3.12260051297527e-225	0.0603933076902515	32.0390156588772	1.93494213077936	1846.03285291328
"ITGA5"	3.77021855777596e-220	9.88207780119294e-223	0.0486527812646581	31.8589911686133	1.55002852863922	3985.17211781926
"LAMC2"	5.54861591896418e-220	1.48464031032187e-222	0.0542763604793692	31.8462250295184	1.72849718960925	3064.33873273956
"TOB1"	7.75678305822902e-219	2.11783516033119e-221	0.0506879416731368	-31.7627403447901	-1.60998792997571	4862.30974684571
"CEACAM6"	1.06756742568689e-217	2.97307588653042e-220	0.0472293388625654	-31.6795412530361	-1.49620378885026	14214.8706565907
"RNF43"	4.31728403575931e-217	1.22589837743398e-219	0.0579838991092815	-31.634835684929	-1.83431112069362	2253.98725521579
"GJA1"	3.52687821291834e-216	1.02072050065348e-218	0.0450146106618382	31.567835227031	1.42101381218186	8974.11784661485
"CCN2"	8.99130203775996e-214	2.6512876647138e-216	0.0622042160498191	31.3914000037178	1.95267742793755	2343.36234106645
"AMIGO2"	6.53595403724004e-212	1.9629633159406e-214	0.0393841813677525	31.2541130481118	1.23091765677508	33928.2304940225
"FCGBP"	1.54670562052219e-210	4.72972832136967e-213	0.0658912685865577	-31.1522407450592	-2.0526606620058	3465.53332701163
"NKD1"	1.73813275636818e-209	5.4100129477959e-212	0.0951311194156455	31.0739953209995	2.95610395960321	1031.26371807627
"FGF2"	1.9592536553037e-209	6.20524829397776e-212	0.0526125523536862	31.0695861018363	1.63465022539022	8954.04496573025
"TRIM9"	1.965535630615e-207	6.33247431913313e-210	0.0638779578910596	30.9205085417127	1.97513894259767	1863.64343199425
"PCDH10"	1.16319526257516e-203	3.81104765764811e-206	0.163047709602715	30.6380654735458	4.99546640211967	577.888898047854
"PABPC4L"	2.26262082456259e-202	7.53671546433232e-205	0.12534219664847	30.5406037891843	3.82802636590695	611.356311489724
"FSTL1"	3.163854971002e-201	1.0711462250976e-203	0.0522730908330179	30.4536687897222	1.59190739484379	4155.40195909212
"MUC5B"	2.2825892837697e-199	7.85251596557041e-202	0.0511575598684615	-30.3124700046324	-1.55071199902292	20169.2245737173
"CCN1"	1.82428943383536e-196	6.37549957764773e-199	0.0596000696289944	30.0908908418427	1.79341918937229	2964.07950763787
"SPDL1"	3.03488925053767e-195	1.07720090255528e-197	0.0528059809666606	29.9968966343667	1.58401555273326	6353.50236995103
"NAV1"	2.91967081702923e-193	1.05224853341304e-195	0.0608461768529916	29.8439364405356	1.81588943465027	2864.62972327072
"LRRC8C"	3.21285736645368e-192	1.17545701715938e-194	0.0676096130987629	29.7630531419079	2.01226850756231	1667.09756192686
"ELK3"	6.76272884646665e-191	2.51114269404102e-193	0.050630595751622	29.6601232865449	1.50170971206433	5165.16404680714
"TPM1"	1.60645231925126e-189	6.05281548781395e-192	0.0429216106700165	29.5527563592395	1.26845190267713	18728.8303903761
"COL5A1"	2.23526570058919e-189	8.54412707045504e-192	0.0543828679882785	29.5411027926745	1.60652989340218	3870.84887893757
"CHST3"	2.41869357961392e-188	9.50941613783663e-191	0.049858254309736	29.4595150341953	1.4687999924164	4020.37138131004
"SHISAL1"	2.41869357961392e-188	9.48568079742919e-191	0.115619988352898	29.4595997684417	3.40611858210825	643.769668196499
"LMCD1"	1.68234701311175e-187	6.70623775226111e-190	0.0507572675504873	29.3932107930836	1.49191906439241	3248.28613110742
"CTPS1"	1.33206236368851e-185	5.38265794315238e-188	0.04327910400524	29.243809259966	1.26564586247147	7410.27780303205
"NUAK1"	1.64205346051327e-184	6.72495001029296e-187	0.0602437854798748	29.1574317764624	1.75655406508528	3129.39082570785
"FRMD8"	8.22001264108963e-182	3.41135237657845e-184	0.0579506473741344	28.9432627501502	1.67728081349087	3181.72717279633
"BMPR2"	7.70859776357472e-180	3.24120585264705e-182	0.0570145958769107	28.7856793875705	1.64120387732465	5552.43998458259
"TGM2"	1.84927359943878e-178	7.87655440158495e-181	0.0464921121939415	28.6747620758322	1.33315025556417	39890.5317659747
